Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
272579,RO212121,Professional Services,90750 RON,2018-01-18
982033,RO125678,Various paper supplies,90270 USD,2018-01-21
771431,RU567434,Waste management services,188383 USD,2018-01-23
651392,FR453231,Various paper supplies,295469 RON,2018-01-21
511127,RO892123,Professional Services,250349 EUR,2018-01-06
293481,IT213456,Various paper supplies,282713 EUR,2018-01-09
491733,FR329083,Beverages and Catering,310460 CAD,2018-01-23
654813,RU567434,Waste management services,251977 USD,2018-01-17
923626,DE763212,IT Support,303203 USD,2018-01-07
845086,RO125678,Beverages and Catering,303362 RON,2018-01-19
324441,FR329083,Beverages and Catering,19513.2 EUR,2018-01-12
599171,RO874232,Professional Services,139117 CAD,2018-01-06
737848,RO874232,Waste management services,24470.4 USD,2018-01-03
306278,FR453231,Various paper supplies,125635 EUR,2018-01-14
799288,FR065748,Waste management services,30800.4 RON,2018-01-22
151393,FR329083,Beverages and Catering,312096 USD,2018-01-17
349148,RO874232,Waste management services,252343 CAD,2018-01-10
282718,RO212121,Professional Services,221693 RON,2018-02-19
755494,RO657483,IT Support,215366 RON,2018-02-10
480727,RO657483,IT Support,23485.2 CAD,2018-02-09
768761,RO892123,Professional Services,62323.2 EUR,2018-02-16
973691,IT213456,Professional Services,235944 USD,2018-02-28
827936,DE763212,Waste management services,255414 CAD,2018-02-02
252465,DE987564,Professional Services,340012 RON,2018-02-15
252948,DE325476,Waste management services,90446.4 CAD,2018-02-10
583881,RO892123,Concierge Services,55123.2 USD,2018-02-15
657735,DE763212,Waste management services,281078 CAD,2018-02-02
113721,RO892123,Waste management services,232452 RON,2018-02-25
916098,RO892123,Concierge Services,69975.6 EUR,2018-02-22
897517,DE325476,Waste management services,21630 USD,2018-02-04
361927,FR453231,IT Support,217006 RON,2018-02-07
300102,IT213456,IT Support,163469 USD,2018-03-01
262736,FR065748,Concierge Services,273799 USD,2018-03-12
175166,RO212121,Various paper supplies,156542 USD,2018-03-16
657495,DE763212,Concierge Services,158383 USD,2018-03-22
699529,RO125678,IT Support,297960 USD,2018-03-05
200732,RO125678,Various paper supplies,53228.4 CAD,2018-03-01
726928,IT754893,Beverages and Catering,291607 CAD,2018-03-23
991980,RO125678,Various paper supplies,228594 EUR,2018-03-21
298926,RO657483,IT Support,94972.8 CAD,2018-03-12
845050,RU567434,IT Support,114377 EUR,2018-03-12
858147,IT213456,Beverages and Catering,214451 RON,2018-03-20
436619,IT754893,Beverages and Catering,211512 USD,2018-04-02
236273,IT213456,Waste management services,9513.6 CAD,2018-04-20
496004,RO657483,Professional Services,194971 CAD,2018-04-14
409905,RU567434,Concierge Services,291790 CAD,2018-04-26
446319,RU567434,Waste management services,101820 RON,2018-04-15
212890,RU567434,IT Support,162077 USD,2018-04-15
942581,IT213456,Various paper supplies,311874 USD,2018-04-27
614676,FR065748,Concierge Services,325282 EUR,2018-04-22
499258,RO892123,Beverages and Catering,257104 RON,2018-04-24
505567,RU567434,IT Support,276384 USD,2018-04-18
264407,FR065748,Professional Services,234463 USD,2018-04-21
392123,DE987564,Various paper supplies,13124.4 RON,2018-04-01
419154,FR453231,Concierge Services,226631 EUR,2018-04-04
163672,FR329083,Professional Services,246455 USD,2018-04-10
316347,IT754893,Professional Services,253199 EUR,2018-04-21
373399,DE763212,IT Support,188329 EUR,2018-04-23
558556,RO892123,IT Support,313778 RON,2018-04-09
946693,DE325476,Concierge Services,39192 EUR,2018-05-26
652392,RO212121,Various paper supplies,230286 EUR,2018-05-28
143845,RU567434,Beverages and Catering,203255 EUR,2018-05-07
564111,FR065748,Concierge Services,314447 EUR,0000-00-00
954450,DE325476,Waste management services,75783.6 CAD,2018-05-20
410312,RO125678,Beverages and Catering,242390 EUR,2018-05-15
580497,FR329083,Concierge Services,103546 CAD,2018-05-01
571579,IT754893,Concierge Services,262632 CAD,2018-05-28
477506,RO212121,Waste management services,279954 RON,2018-05-27
815680,FR329083,IT Support,143296 RON,2018-05-25
707333,IT754893,Waste management services,207330 CAD,2018-06-01
793197,IT754893,Various paper supplies,356048 USD,2018-06-10
956976,IT213456,Professional Services,148048 USD,2018-06-27
480465,RO874232,Waste management services,351595 USD,2018-06-04
844205,FR329083,IT Support,214295 USD,2018-06-23
500721,DE763212,Waste management services,358811 RON,0000-00-00
720150,IT754893,Professional Services,272371 CAD,2018-06-11
708693,DE325476,Waste management services,243802 EUR,2018-06-01
205852,RU567434,Beverages and Catering,196099 RON,2018-06-05
631272,RO892123,IT Support,316494 EUR,2018-06-17
656242,IT754893,Concierge Services,204440 CAD,2018-06-13
747583,DE325476,IT Support,166417 EUR,2018-06-14
576440,DE325476,Concierge Services,11372.4 RON,2018-06-24
874055,RU567434,Concierge Services,154025 RON,2018-06-14
218658,FR453231,Waste management services,304658 USD,2018-06-12
602978,DE987564,Waste management services,26016 RON,2018-06-04
834202,RO657483,Beverages and Catering,281410 EUR,2018-07-04
907704,FR329083,Waste management services,155052 RON,2018-07-12
819939,RO874232,Beverages and Catering,11233.2 EUR,2018-07-21
604688,DE987564,Professional Services,155136 CAD,2018-07-25
372272,RO657483,Beverages and Catering,176639 USD,2018-07-18
